schema,table,policy,cmd,qual,with_check,literal_roles,proposed_helper,risk,flow_impact
public,atrizes_briefings,atrizes_briefings_update,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'atrizes_gravacao'::user_role, 'sucesso_cliente'::user_role])))))",,atrizes_gravacao|ceo|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'atrizes_gravacao'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Briefings departamento
public,card_attachments,card_attachments_delete,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'devs'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|devs|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'devs'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Fluxo auxiliar
public,card_attachments,card_attachments_insert,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'devs'::user_role, 'sucesso_cliente'::user_role])))))",ceo|devs|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'devs'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Fluxo auxiliar
public,churn_notifications,Authorized roles can insert churn notifications,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['financeiro'::user_role, 'gestor_projetos'::user_role, 'ceo'::user_role])))))",ceo|financeiro|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'financeiro'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Notificações
public,churn_notifications,Users with specific roles can view churn notifications,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_ads'::user_role, 'gestor_projetos'::user_role, 'sucesso_cliente'::user_role, 'financeiro'::user_role, 'consultor_comercial'::user_role])))))",,ceo|consultor_comercial|financeiro|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'consultor_comercial'::user_role) OR has_role(auth.uid(), 'financeiro'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações
public,client_daily_tracking,Sucesso do Cliente can view all tracking,SELECT,"has_role(auth.uid(), 'sucesso_cliente'::user_role)",,sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",MEDIO,Fluxo auxiliar
public,client_invoices,Financeiro pode atualizar faturamentos,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['financeiro'::user_role, 'gestor_projetos'::user_role, 'ceo'::user_role])))))",,ceo|financeiro|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'financeiro'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Faturamento / NF
public,client_invoices,Financeiro pode criar faturamentos,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['financeiro'::user_role, 'gestor_projetos'::user_role, 'ceo'::user_role])))))",ceo|financeiro|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'financeiro'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Faturamento / NF
public,client_invoices,Financeiro pode deletar faturamentos,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['financeiro'::user_role, 'gestor_projetos'::user_role, 'ceo'::user_role])))))",,ceo|financeiro|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'financeiro'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Faturamento / NF
public,client_invoices,Financeiro pode ver faturamentos,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['financeiro'::user_role, 'gestor_projetos'::user_role, 'ceo'::user_role])))))",,ceo|financeiro|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'financeiro'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Faturamento / NF
public,client_sales,Authorized roles can insert sales,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'financeiro'::user_role, 'consultor_comercial'::user_role, 'sucesso_cliente'::user_role])))))",ceo|consultor_comercial|financeiro|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'consultor_comercial'::user_role) OR has_role(auth.uid(), 'financeiro'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Vendas registradas
public,client_sales,Authorized roles can view all sales,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'financeiro'::user_role, 'consultor_comercial'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|consultor_comercial|financeiro|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'consultor_comercial'::user_role) OR has_role(auth.uid(), 'financeiro'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Vendas registradas
public,clients,Ads Manager can update assigned clients,UPDATE,"((EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'gestor_ads'::user_role)))) AND (assigned_ads_manager = auth.uid()))","((EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'gestor_ads'::user_role)))) AND (assigned_ads_manager = auth.uid()))",gestor_ads,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_ads'::user_role)",CRITICO,"CRUD clientes (onboarding, dashboards)"
public,clients,Consultor Comercial can view all clients,SELECT,"has_role(auth.uid(), 'consultor_comercial'::user_role)",,consultor_comercial,"is_admin(auth.uid()) OR has_role(auth.uid(), 'consultor_comercial'::user_role)",CRITICO,"CRUD clientes (onboarding, dashboards)"
public,clients,Financeiro can update clients for churn workflow,UPDATE,"has_role(auth.uid(), 'financeiro'::user_role)",,financeiro,"is_admin(auth.uid()) OR has_role(auth.uid(), 'financeiro'::user_role)",CRITICO,"CRUD clientes (onboarding, dashboards)"
public,clients,Financeiro can view all clients,SELECT,"has_role(auth.uid(), 'financeiro'::user_role)",,financeiro,"is_admin(auth.uid()) OR has_role(auth.uid(), 'financeiro'::user_role)",CRITICO,"CRUD clientes (onboarding, dashboards)"
public,clients,Gestor de Projetos can view clients in their group,SELECT,"(has_role(auth.uid(), 'gestor_projetos'::user_role) AND (group_id = get_user_group_id(auth.uid())))",,gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,"CRUD clientes (onboarding, dashboards)"
public,clients,Outbound can view all clients,SELECT,"has_role(auth.uid(), 'outbound'::user_role)",,outbound,"is_admin(auth.uid()) OR has_role(auth.uid(), 'outbound'::user_role)",CRITICO,"CRUD clientes (onboarding, dashboards)"
public,clients,Sucesso do Cliente can update clients for CX validation,UPDATE,"has_role(auth.uid(), 'sucesso_cliente'::user_role)","has_role(auth.uid(), 'sucesso_cliente'::user_role)",sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,"CRUD clientes (onboarding, dashboards)"
public,clients,Sucesso do Cliente can view all clients,SELECT,"has_role(auth.uid(), 'sucesso_cliente'::user_role)",,sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,"CRUD clientes (onboarding, dashboards)"
public,comercial_client_documentation,CEO pode ver todas documentações comercial,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = 'ceo'::user_role))))",,ceo,is_executive(auth.uid()) OR is_admin(auth.uid()),ALTO,Documentação
public,comercial_client_documentation,Gestor Projetos pode ver todas doc comercial,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = 'gestor_projetos'::user_role))))",,gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Documentação
public,comercial_daily_documentation,comercial_doc_select,SELECT,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role]))))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",MEDIO,Documentação
public,comercial_delay_justifications,comercial_just_select,SELECT,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'sucesso_cliente'::user_role]))))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Justificativas atraso
public,comercial_delay_justifications,comercial_just_update,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'ceo'::user_role))))",,ceo,is_executive(auth.uid()) OR is_admin(auth.uid()),ALTO,Justificativas atraso
public,comercial_delay_notifications,comercial_delay_notif_delete,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role])))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Notificações atraso
public,comercial_delay_notifications,comercial_delay_notif_insert,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'consultor_comercial'::user_role, 'sucesso_cliente'::user_role])))))",ceo|consultor_comercial|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'consultor_comercial'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
public,comercial_delay_notifications,comercial_delay_notif_select,SELECT,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'sucesso_cliente'::user_role]))))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
public,comercial_tasks,comercial_tasks_delete,DELETE,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'ceo'::user_role)))))",,ceo,is_executive(auth.uid()) OR is_admin(auth.uid()),CRITICO,Kanban comercial
public,comercial_tasks,comercial_tasks_select,SELECT,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role]))))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Kanban comercial
public,comercial_tracking,comercial_tracking_select,SELECT,"((comercial_user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role]))))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",MEDIO,Fluxo auxiliar
public,commission_records,System can insert commissions,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'financeiro'::user_role, 'consultor_comercial'::user_role, 'sucesso_cliente'::user_role])))))",ceo|consultor_comercial|financeiro|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'consultor_comercial'::user_role) OR has_role(auth.uid(), 'financeiro'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",MEDIO,Fluxo auxiliar
public,cs_action_manuals,Authorized roles can manage CS action manuals,ALL,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",MEDIO,Fluxo auxiliar
public,cs_action_plan_tasks,CS and CEO can manage action plan tasks,ALL,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['ceo'::user_role, 'sucesso_cliente'::user_role, 'gestor_projetos'::user_role])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",MEDIO,Tasks departamento
public,cs_action_plans,CS and CEO can create action plans,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['ceo'::user_role, 'sucesso_cliente'::user_role, 'gestor_projetos'::user_role])))))",ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Planos ação sucesso cliente
public,cs_action_plans,CS and CEO can delete action plans,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['ceo'::user_role, 'sucesso_cliente'::user_role, 'gestor_projetos'::user_role])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Planos ação sucesso cliente
public,cs_action_plans,CS and CEO can update action plans,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['ceo'::user_role, 'sucesso_cliente'::user_role, 'gestor_projetos'::user_role])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",CRITICO,Planos ação sucesso cliente
public,cs_contact_history,Authorized roles can manage CS contact history,ALL,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",MEDIO,Fluxo auxiliar
public,cs_insights,Authorized roles can manage CS insights,ALL,"(EXISTS ( SELECT 1
   FROM user_roles
  WHERE ((user_roles.user_id = auth.uid()) AND (user_roles.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",MEDIO,Fluxo auxiliar
public,design_briefings,design_briefings_delete,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'design'::user_role])))))",,ceo|design|gestor_ads|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'design'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Briefings departamento
public,design_briefings,design_briefings_insert,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'design'::user_role])))))",ceo|design|gestor_ads|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'design'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Briefings departamento
public,design_briefings,design_briefings_update,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'design'::user_role])))))",,ceo|design|gestor_ads|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'design'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",CRITICO,Briefings departamento
public,design_completion_notifications,System can insert notifications,INSERT,,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'design'::user_role, 'sucesso_cliente'::user_role])))))",ceo|design|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'design'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações
public,design_delay_justifications,Authorized roles can view justifications,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'design'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|design|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'design'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Justificativas atraso
public,design_delay_justifications,CEO can archive justifications,UPDATE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = 'ceo'::user_role))))",,ceo,is_executive(auth.uid()) OR is_admin(auth.uid()),ALTO,Justificativas atraso
public,design_delay_notifications,Admins can delete notifications,DELETE,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role])))))",,ceo|gestor_projetos,"is_admin(auth.uid()) OR has_role(auth.uid(), 'gestor_projetos'::user_role)",ALTO,Notificações atraso
public,design_delay_notifications,Authorized roles can view notifications,SELECT,"(EXISTS ( SELECT 1
   FROM user_roles ur
  WHERE ((ur.user_id = auth.uid()) AND (ur.role = ANY (ARRAY['ceo'::user_role, 'gestor_projetos'::user_role, 'gestor_ads'::user_role, 'design'::user_role, 'sucesso_cliente'::user_role])))))",,ceo|design|gestor_ads|gestor_projetos|sucesso_cliente,"is_admin(auth.uid()) OR has_role(auth.uid(), 'design'::user_role) OR has_role(auth.uid(), 'gestor_ads'::user_role) OR has_role(auth.uid(), 'gestor_projetos'::user_role) OR has_role(auth.uid(), 'sucesso_cliente'::user_role)",ALTO,Notificações atraso
